ECLID	DESCRIPTION	QTY	SALES	COGS-GP	GP-PCT
724	CONDUIT EMT 10FT 3-IN	150	434.39	47.91	11.0
678	CONDUIT EMT 10FT 3/4-IN	3180	1,003.54	144.50	14.4
942	CONDUIT EMT 10FT 4-IN	160	659.03	101.71	15.4
567	CONDUIT EMT ELB 11DEG 2-IN	2	11.43	3.38	29.6
155	CONDUIT EMT ELB 15DEG 1-1/2-IN	2	8.01	2.53	31.6
208	CONDUIT EMT ELB 15DEG 1-1/4-IN	2	6.61	2.24	33.9
209	CONDUIT EMT ELB 22DEG 1-1/4-IN	2	6.95	2.44	35.1
569	CONDUIT EMT ELB 22DEG 2-IN	4	22.86	7.92	34.6
727	CONDUIT EMT ELB 22DEG 3-IN	2	40.22	13.02	32.4
157	CONDUIT EMT ELB 30DEG 1-1/2-IN	4	16.26	6.10	37.5
570	CONDUIT EMT ELB 30DEG 2-IN	4	24.24	8.96	37.0
211	CONDUIT EMT ELB 45DEG 1-1/4-IN	3	10.09	4.13	40.9
571	CONDUIT EMT ELB 45DEG 2-IN	1	5.65	2.25	39.8
159	CONDUIT EMT ELB 90DEG 1-1/2-IN	6	23.07	8.07	35.0
212	CONDUIT EMT ELB 90DEG 1-1/4-IN	28	96.49	40.80	42.3
572	CONDUIT EMT ELB 90DEG 2-IN	27	153.75	62.07	40.4
730	CONDUIT EMT ELB 90DEG 3-IN	6	127.01	53.06	41.8
949	CONDUIT EMT ELB 90DEG 4-IN	3	98.83	40.53	41.0
204	CONDUIT FLEX RWA 1-1/4-IN 50C	150	210.56	57.09	27.1
439	CONDUIT FLEX RWA 1-IN 50C	300	268.94	48.29	18.0
277	CONDUIT FLEX RWA 1/2-IN 100C	1500	507.93	82.23	16.2
564	CONDUIT FLEX RWA 2-IN 25C	100	240.12	53.19	22.2
675	CONDUIT FLEX RWA 3/4-IN 100C	1200	548.03	79.79	14.6
470	CONDUIT FLEX RWS 1-IN 50C	550	474.65	117.86	24.8
300	CONDUIT FLEX RWS 1/2-IN 100C	2100	749.91	131.10	17.5
704	CONDUIT FLEX RWS 3/4-IN 100C	1200	546.84	101.04	18.5
471	CONDUIT FLEX UA/LT 1-IN GY 400R	25	52.65	16.51	31.4
